country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","12-04-2025 10:00:00",27.308328,84.531742,NH3,1,1,1
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","12-04-2025 10:00:00",11.654054,92.734055,NO2,8,28,21
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","12-04-2025 10:00:00",14.675886,77.593027,PM2.5,60,91,77
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","12-04-2025 10:00:00",14.675886,77.593027,CO,22,22,22
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","12-04-2025 10:00:00",21.185571,81.343175,OZONE,9,22,13
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","12-04-2025 10:00:00",22.08815,82.13737,SO2,12,17,16
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-04-2025 10:00:00",22.118125,83.140608,PM2.5,14,58,33
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-04-2025 10:00:00",22.118125,83.140608,PM10,27,88,50
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","12-04-2025 10:00:00",22.118125,83.140608,SO2,14,49,21
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-04-2025 10:00:00",22.368195,82.746431,PM10,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2025 10:00:00",22.348441,82.549611,PM10,37,152,73
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2025 10:00:00",22.348441,82.549611,OZONE,35,36,35
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2025 10:00:00",25.586562,85.043586,OZONE,10,32,15
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","12-04-2025 10:00:00",25.592539,85.227158,PM2.5,28,85,61
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","12-04-2025 10:00:00",25.592539,85.227158,OZONE,17,43,31
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","12-04-2025 10:00:00",25.610369,85.132568,CO,32,64,64
India,Bihar,Patna,"Muradpur, Patna - BSPCB","12-04-2025 10:00:00",25.619651,85.147382,NH3,1,36,4
India,Bihar,Patna,"Muradpur, Patna - BSPCB","12-04-2025 10:00:00",25.619651,85.147382,CO,44,66,50
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","12-04-2025 10:00:00",25.599486,85.113666,CO,14,41,25
India,Delhi,Delhi,"Bawana, Delhi - DPCC","12-04-2025 10:00:00",28.776200,77.051074,NO2,10,34,24
India,Delhi,Delhi,"Bawana, Delhi - DPCC","12-04-2025 10:00:00",28.776200,77.051074,SO2,3,23,11
India,Delhi,Delhi,"Bawana, Delhi - DPCC","12-04-2025 10:00:00",28.776200,77.051074,CO,16,42,30
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","12-04-2025 10:00:00",28.7256504,77.2011573,CO,18,28,25
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-04-2025 10:00:00",28.5512005,77.2735737,NO2,4,165,46
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","12-04-2025 10:00:00",28.5512005,77.2735737,CO,23,80,30
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-04-2025 10:00:00",28.656756,77.227234,NO2,54,84,67
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","12-04-2025 10:00:00",28.656756,77.227234,NH3,4,9,7
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","12-04-2025 10:00:00",28.580280,77.233829,PM10,50,246,102
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","12-04-2025 10:00:00",28.588333,77.221667,PM2.5,61,274,102
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","12-04-2025 10:00:00",28.588333,77.221667,NO2,21,65,36
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","12-04-2025 10:00:00",28.5918245,77.2273074,PM10,40,500,126
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","12-04-2025 10:00:00",28.5918245,77.2273074,NO2,21,41,27
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-04-2025 10:00:00",28.611281,77.237738,PM10,34,144,93
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","12-04-2025 10:00:00",28.611281,77.237738,NH3,18,22,20
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","12-04-2025 10:00:00",30.735567,76.775714,CO,36,64,49
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","12-04-2025 10:00:00",30.751462,76.762879,NO2,21,48,30
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-04-2025 10:00:00",30.719859,76.738637,PM2.5,25,70,43
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-04-2025 10:00:00",30.719859,76.738637,OZONE,7,130,36
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","12-04-2025 10:00:00",21.194815,81.314770,NO2,8,51,22
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","12-04-2025 10:00:00",21.185571,81.343175,NH3,2,2,2
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2025 10:00:00",25.596727,85.085624,CO,34,47,37
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","12-04-2025 10:00:00",25.366336,87.117468,NO2,17,22,19
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","12-04-2025 10:00:00",25.366336,87.117468,SO2,14,17,16
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","12-04-2025 10:00:00",25.859655,85.77944,PM2.5,3,220,54
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","12-04-2025 10:00:00",25.859655,85.77944,SO2,9,29,22
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","12-04-2025 10:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","12-04-2025 10:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","12-04-2025 10:00:00",22.1910172,83.5197009,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2025 10:00:00",21.258815,81.578979,NO2,27,66,50
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2025 10:00:00",21.258815,81.578979,NH3,7,7,7
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2025 10:00:00",21.258815,81.578979,SO2,2,52,15
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-04-2025 10:00:00",28.498571,77.264840,NO2,11,20,15
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-04-2025 10:00:00",28.498571,77.264840,CO,36,54,39
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","12-04-2025 10:00:00",28.498571,77.264840,OZONE,12,122,27
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","12-04-2025 10:00:00",28.5710274,77.0719006,NO2,28,50,37
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","12-04-2025 10:00:00",21.371751,81.664929,SO2,13,91,34
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2025 10:00:00",28.815329,77.153010,NO2,22,38,31
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","12-04-2025 10:00:00",28.647622,77.3158090,SO2,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","12-04-2025 10:00:00",28.3153,76.9143,NO2,39,62,52
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","12-04-2025 10:00:00",28.3153,76.9143,SO2,13,17,15
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","12-04-2025 10:00:00",28.3153,76.9143,OZONE,6,111,19
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","12-04-2025 10:00:00",30.943887,76.801991,NH3,4,9,6
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","12-04-2025 10:00:00",34.066206,74.819820,PM2.5,57,118,84
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","12-04-2025 10:00:00",34.066206,74.819820,NH3,2,2,2
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","12-04-2025 10:00:00",23.80569,86.44268,OZONE,18,313,25
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","12-04-2025 10:00:00",16.172806,75.659694,OZONE,12,16,16
India,Delhi,Delhi,"Pusa, Delhi - IMD","12-04-2025 10:00:00",28.636110,77.173332,NO2,32,89,51
India,Delhi,Delhi,"Pusa, Delhi - IMD","12-04-2025 10:00:00",28.636110,77.173332,OZONE,1,117,20
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","12-04-2025 10:00:00",28.563262,77.186937,SO2,6,35,21
India,Delhi,Delhi,"Rohini, Delhi - DPCC","12-04-2025 10:00:00",28.732528,77.119920,PM2.5,12,277,74
India,Delhi,Delhi,"Rohini, Delhi - DPCC","12-04-2025 10:00:00",28.732528,77.119920,SO2,1,16,8
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-04-2025 10:00:00",28.6514781,77.1473105,PM2.5,17,500,118
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-04-2025 10:00:00",28.6514781,77.1473105,NO2,55,81,66
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-04-2025 10:00:00",28.6514781,77.1473105,SO2,2,28,15
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","12-04-2025 10:00:00",28.5504249,77.2159377,PM10,49,500,133
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2025 10:00:00",23.107969,72.574648,SO2,1,18,5
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2025 10:00:00",23.107969,72.574648,CO,18,52,45
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2025 10:00:00",22.977134,72.553024,PM10,104,500,252
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2025 10:00:00",22.977134,72.553024,CO,18,98,87
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2025 10:00:00",22.977134,72.553024,OZONE,2,24,9
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","12-04-2025 10:00:00",23.002657,72.591912,PM10,63,112,89
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","12-04-2025 10:00:00",23.002657,72.591912,SO2,32,45,38
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","12-04-2025 10:00:00",23.020509,72.579261,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-04-2025 10:00:00",23.016834,72.625775,PM10,43,107,71
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","12-04-2025 10:00:00",28.636429,77.201067,PM10,30,500,109
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-04-2025 10:00:00",28.684678,77.076574,SO2,3,14,8
India,Delhi,Delhi,"Mundka, Delhi - DPCC","12-04-2025 10:00:00",28.684678,77.076574,OZONE,3,91,14
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","12-04-2025 10:00:00",28.60909,77.0325413,PM2.5,47,378,116
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","12-04-2025 10:00:00",28.570173,76.933762,PM10,28,212,88
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","12-04-2025 10:00:00",28.570173,76.933762,NO2,35,65,51
India,Delhi,Delhi,"Narela, Delhi - DPCC","12-04-2025 10:00:00",28.822836,77.101981,PM10,29,149,105
India,Delhi,Delhi,"Narela, Delhi - DPCC","12-04-2025 10:00:00",28.822836,77.101981,NO2,8,36,20
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","12-04-2025 10:00:00",28.710508,77.249485,SO2,7,26,15
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-04-2025 10:00:00",28.531346,77.190156,PM2.5,23,207,64
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-04-2025 10:00:00",28.531346,77.190156,NO2,15,64,38
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-04-2025 10:00:00",28.531346,77.190156,NH3,7,9,8
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","12-04-2025 10:00:00",28.531346,77.190156,CO,23,46,38
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","12-04-2025 10:00:00",28.672342,77.315260,PM10,29,500,129
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","12-04-2025 10:00:00",28.672342,77.315260,CO,32,49,41
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","12-04-2025 10:00:00",28.699793,77.165453,SO2,7,20,12
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","12-04-2025 10:00:00",28.699793,77.165453,CO,37,76,63
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","12-04-2025 10:00:00",23.221714,72.654328,PM2.5,18,40,28
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","12-04-2025 10:00:00",23.221714,72.654328,PM10,28,124,62
India,Gujarat,Surat,"Science Center, Surat - SMC","12-04-2025 10:00:00",21.170046,72.795405,SO2,41,43,42
India,Gujarat,Surat,"Science Center, Surat - SMC","12-04-2025 10:00:00",21.170046,72.795405,CO,30,41,35
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","12-04-2025 10:00:00",20.362421,72.918013,NH3,10,10,10
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","12-04-2025 10:00:00",20.362421,72.918013,SO2,36,38,38
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","12-04-2025 10:00:00",28.422681,77.148944,PM10,24,333,106
